round,rmse,mae
1,67.94523620605469,67.9438705444336
2,67.95043182373047,67.94901275634766
3,67.94116973876953,67.93963623046875
4,67.94149780273438,67.94013977050781
5,67.9368667602539,67.93561553955078
6,67.92959594726562,67.92814636230469
7,67.93376159667969,67.93232727050781
8,67.94940185546875,67.94783020019531
9,67.95226287841797,67.95061492919922
10,67.94645690917969,67.94479370117188
11,67.9427261352539,67.94097900390625
12,67.9405288696289,67.93882751464844
13,67.9220199584961,67.91996002197266
14,63.67414474487305,63.62770080566406
15,63.55657196044922,63.508445739746094
16,61.843379974365234,61.79842758178711
17,60.41994094848633,60.3730583190918
18,60.01768112182617,59.958580017089844
19,59.9620361328125,59.906192779541016
20,59.93503952026367,59.87641143798828
21,59.922264099121094,59.86482238769531
22,59.905845642089844,59.848934173583984
23,59.859214782714844,59.801021575927734
24,59.931522369384766,59.86832046508789
25,59.85409164428711,59.79151916503906
26,59.9126091003418,59.848899841308594
27,59.86481475830078,59.80986785888672
28,59.86228942871094,59.801876068115234
29,59.88291549682617,59.80691909790039
30,59.87435531616211,59.79603958129883
31,59.877525329589844,59.792686462402344
32,59.89604187011719,59.8006477355957
33,59.89252471923828,59.79928207397461
34,59.91423034667969,59.81010437011719
35,59.915496826171875,59.81014633178711
36,59.984886169433594,59.844696044921875
37,59.967952728271484,59.829124450683594
38,59.964942932128906,59.827735900878906
39,59.98847579956055,59.85536193847656
40,60.02509689331055,59.89254379272461
41,60.03630828857422,59.922569274902344
42,60.033138275146484,59.925052642822266
43,60.044559478759766,59.936912536621094
44,60.04922866821289,59.932029724121094
45,60.05929183959961,59.942691802978516
46,60.06785202026367,59.95002746582031
47,60.076351165771484,59.95729064941406
48,60.028839111328125,59.935630798339844
49,60.0465087890625,59.954689025878906
50,60.05411148071289,59.96260070800781
51,60.03578186035156,59.942996978759766
52,60.0068473815918,59.93202590942383
53,59.999114990234375,59.921669006347656
54,60.009437561035156,59.92790985107422
55,60.0272331237793,59.94517135620117
56,60.03599166870117,59.95258331298828
57,60.0609245300293,59.97896957397461
58,60.07402038574219,59.99042892456055
59,58.98200988769531,58.89451217651367
60,58.9794807434082,58.896305084228516
61,59.01740264892578,58.938907623291016
62,59.05812454223633,58.9815673828125
63,59.08258819580078,59.0098876953125
64,59.09181594848633,59.01553726196289
65,59.090545654296875,59.01222610473633
66,59.07283020019531,58.998191833496094
67,59.08780288696289,59.012115478515625
68,59.085384368896484,59.0177116394043
69,59.10551834106445,59.029441833496094
70,59.12248611450195,59.046424865722656
71,59.140716552734375,59.06394958496094
72,59.15290451049805,59.067569732666016
73,59.196754455566406,59.11067199707031
74,59.1949462890625,59.10304641723633
75,59.19792556762695,59.1082878112793
76,59.18784713745117,59.11003494262695
77,59.20537185668945,59.13239669799805
78,59.221439361572266,59.150753021240234
79,59.21611022949219,59.14546203613281
80,59.223876953125,59.15620040893555
81,59.22235870361328,59.150718688964844
82,59.20964813232422,59.140010833740234
83,59.202396392822266,59.13312911987305
84,59.131439208984375,59.051849365234375
85,59.236236572265625,59.14869689941406
86,59.130706787109375,59.04148483276367
87,59.120033264160156,59.03513717651367
88,59.27375793457031,59.19557571411133
89,59.290550231933594,59.21151351928711
